date,temp_c,precip_mm,weathercode
2009-03-16,6.45,0.0,3
2009-03-17,6.85,0.0,3
2009-03-18,3.9000000000000004,0.0,3
2009-03-19,3.5500000000000003,0.0,3
2009-03-20,1.6,0.0,3
2009-03-21,3.1499999999999995,0.0,3
2009-03-22,4.75,0.2,51
2009-03-23,5.15,10.6,61
2009-03-24,3.15,3.2,71
2009-03-25,2.4,8.8,73
2009-03-26,5.0,6.8,55
2009-03-27,6.35,4.0,53
2009-03-28,5.699999999999999,6.7,61
2009-03-29,5.9,0.8,51
2009-03-30,5.4,0.0,3
2009-03-31,5.15,0.0,1
2009-04-01,7.25,0.0,0
2009-04-02,10.0,0.0,0
2009-04-03,12.9,0.0,0
2009-04-04,12.95,0.1,51
2009-04-05,10.25,0.1,51
2009-04-06,12.3,0.2,51
2009-04-07,15.350000000000001,0.8,53
2009-04-08,12.8,1.2,51
2009-04-09,13.35,0.2,51
2009-04-10,15.7,0.0,1
2009-04-11,16.3,0.0,1
2009-04-12,15.4,0.0,3
2009-04-13,14.35,0.2,51
2009-04-14,14.85,0.0,3
2009-04-15,14.25,1.1,53
2009-04-16,15.600000000000001,0.2,51
2009-04-17,12.9,0.1,51
2009-04-18,10.2,0.0,3
2009-04-19,11.350000000000001,0.0,3
2009-04-20,11.3,0.0,0
2009-04-21,11.55,0.0,0
2009-04-22,9.25,0.0,3
2009-04-23,10.350000000000001,0.2,51
2009-04-24,10.7,0.0,0
2009-04-25,14.85,0.1,51
2009-04-26,15.75,0.0,3
2009-04-27,13.95,0.0,3
2009-04-28,11.0,13.2,63
2009-04-29,9.05,5.3,55
2009-04-30,12.600000000000001,2.4,55
2009-05-01,13.950000000000001,0.0,3
2009-05-02,13.799999999999999,0.0,3
2009-05-03,12.149999999999999,1.8,55
2009-05-04,9.75,0.6,51
2009-05-05,10.15,3.4,53
2009-05-06,11.1,7.0,55
2009-05-07,13.25,0.1,51
2009-05-08,13.65,0.8,51
2009-05-09,12.049999999999999,0.6,51
2009-05-10,12.5,1.0,53
2009-05-11,12.45,1.8,51
2009-05-12,11.05,0.0,1
2009-05-13,12.8,0.0,3
2009-05-14,13.55,0.0,3
2009-05-15,14.05,14.5,63
2009-05-16,12.3,2.1,61
2009-05-17,14.6,6.5,63
2009-05-18,14.149999999999999,0.0,3
2009-05-19,13.25,0.2,51
2009-05-20,14.85,0.6,51
2009-05-21,16.6,0.9,53
2009-05-22,12.6,1.1,53
2009-05-23,12.55,0.0,3
2009-05-24,17.1,0.0,3
2009-05-25,16.5,0.0,1
2009-05-26,18.9,1.2,53
2009-05-27,12.85,1.1,53
2009-05-28,13.6,1.9,53
2009-05-29,13.0,0.0,3
2009-05-30,13.700000000000001,0.0,3
2009-05-31,16.85,0.0,3
2009-06-01,17.9,0.0,2
2009-06-02,16.0,0.0,3
2009-06-03,11.95,0.0,3
2009-06-04,10.649999999999999,1.2,51
2009-06-05,10.2,0.7,51
2009-06-06,9.9,7.6,61
2009-06-07,12.2,6.7,55
2009-06-08,12.4,0.5,51
2009-06-09,16.0,6.9,61
2009-06-10,15.8,0.6,51
2009-06-11,12.350000000000001,12.0,61
2009-06-12,11.9,1.5,51
2009-06-13,12.85,0.0,2
2009-06-14,14.8,4.1,61
2009-06-15,15.549999999999999,8.6,61
2009-06-16,12.899999999999999,8.7,61
2009-06-17,14.05,0.0,3
2009-06-18,17.55,0.7,51
2009-06-19,14.700000000000001,1.2,51
2009-06-20,13.55,3.4,53
2009-06-21,13.55,3.3,51
2009-06-22,13.45,0.6,51
2009-06-23,15.9,0.0,3
2009-06-24,17.6,0.0,1
2009-06-25,17.9,0.0,3
2009-06-26,19.55,2.0,55
2009-06-27,19.35,0.4,51
2009-06-28,19.799999999999997,0.2,51
2009-06-29,19.95,0.0,1
2009-06-30,20.85,0.0,1
2009-07-01,20.85,0.0,1
2009-07-02,22.65,0.0,1
2009-07-03,22.700000000000003,1.0,51
2009-07-04,21.1,0.5,51
2009-07-05,19.9,0.0,3
2009-07-06,19.85,2.2,53
2009-07-07,17.9,0.3,51
2009-07-08,15.899999999999999,10.7,63
2009-07-09,14.6,4.4,61
2009-07-10,12.55,8.2,61
2009-07-11,14.75,0.3,51
2009-07-12,16.9,1.8,51
2009-07-13,17.6,0.0,3
2009-07-14,20.700000000000003,1.2,53
2009-07-15,20.5,0.0,3
2009-07-16,19.65,0.0,3
2009-07-17,20.65,4.5,61
2009-07-18,16.450000000000003,2.4,53
2009-07-19,16.4,2.7,53
2009-07-20,16.7,0.8,51
2009-07-21,18.95,0.8,51
2009-07-22,21.95,8.4,63
2009-07-23,18.6,17.0,63
2009-07-24,17.7,2.7,55
2009-07-25,16.0,12.2,63
2009-07-26,16.3,0.0,3
2009-07-27,21.2,0.5,51
2009-07-28,17.25,0.3,51
2009-07-29,19.1,0.0,3
2009-07-30,17.4,2.3,61
2009-07-31,16.0,0.0,3
2009-08-01,18.15,0.2,51
2009-08-02,18.9,1.5,53
2009-08-03,17.35,0.0,3
2009-08-04,17.2,0.2,51
2009-08-05,18.65,0.0,1
2009-08-06,21.25,0.0,3
2009-08-07,23.05,0.0,3
2009-08-08,20.6,2.7,53
2009-08-09,20.35,7.0,63
2009-08-10,19.65,0.4,51
2009-08-11,18.9,2.3,51
2009-08-12,18.0,2.5,53
2009-08-13,17.15,0.4,51
2009-08-14,15.7,0.3,51
2009-08-15,20.1,0.0,3
2009-08-16,21.55,0.0,3
2009-08-17,20.25,0.1,51
2009-08-18,18.2,0.2,51
2009-08-19,20.9,0.0,1
2009-08-20,26.75,2.0,61
2009-08-21,19.75,0.5,53
2009-08-22,16.5,0.0,3
2009-08-23,17.75,0.0,3
2009-08-24,20.799999999999997,0.0,1
2009-08-25,20.45,5.6,61
2009-08-26,18.75,0.0,3
2009-08-27,21.35,0.0,3
2009-08-28,18.75,0.6,51
2009-08-29,15.35,1.7,55
2009-08-30,15.2,0.1,51
2009-08-31,18.2,0.0,2
2009-09-01,22.5,1.9,53
2009-09-02,17.8,0.0,3
2009-09-03,16.55,3.2,53
2009-09-04,15.05,0.5,51
2009-09-05,13.7,10.8,61
2009-09-06,14.4,0.0,3
2009-09-07,17.450000000000003,0.0,3
2009-09-08,19.45,0.0,3
2009-09-09,19.8,0.0,3
2009-09-10,15.75,2.3,53
2009-09-11,15.5,0.0,3
2009-09-12,15.899999999999999,0.0,3
2009-09-13,14.4,2.6,53
2009-09-14,13.75,2.3,53
2009-09-15,14.850000000000001,14.7,61
2009-09-16,16.25,0.3,51
2009-09-17,13.6,0.0,3
2009-09-18,13.7,0.0,3
2009-09-19,17.6,0.0,2
2009-09-20,18.5,0.0,2
2009-09-21,15.6,0.0,3
2009-09-22,15.35,0.0,3
2009-09-23,15.25,0.6,51
2009-09-24,15.15,0.0,3
2009-09-25,12.7,0.1,51
2009-09-26,13.95,0.0,3
2009-09-27,13.65,0.0,1
2009-09-28,11.85,0.0,3
2009-09-29,14.350000000000001,3.7,53
2009-09-30,12.7,4.2,55
2009-10-01,12.05,3.5,61
2009-10-02,9.850000000000001,3.2,53
2009-10-03,11.65,0.1,51
2009-10-04,11.7,2.8,55
2009-10-05,9.65,2.1,53
2009-10-06,13.75,9.1,61
2009-10-07,17.8,14.6,63
2009-10-08,11.75,16.3,63
2009-10-09,8.8,0.0,3
2009-10-10,10.7,9.9,63
2009-10-11,11.1,10.3,61
2009-10-12,9.05,2.0,51
2009-10-13,6.65,0.7,51
2009-10-14,3.65,0.0,3
2009-10-15,4.45,0.0,3
2009-10-16,5.9,11.3,61
2009-10-17,6.4,1.3,51
2009-10-18,5.4,0.2,51
2009-10-19,6.75,0.0,3
2009-10-20,6.25,0.0,3
2009-10-21,6.5,0.0,3
2009-10-22,6.4,0.1,51
2009-10-23,8.95,0.0,3
2009-10-24,8.899999999999999,0.5,51
2009-10-25,12.9,2.3,53
2009-10-26,11.15,1.3,51
2009-10-27,10.8,0.6,51
2009-10-28,10.55,0.0,3
2009-10-29,10.25,0.0,3
2009-10-30,8.35,0.0,3
2009-10-31,6.7,0.0,3
2009-11-01,8.0,7.6,61
2009-11-02,9.8,13.6,61
2009-11-03,7.449999999999999,0.5,53
2009-11-04,7.65,14.3,63
2009-11-05,7.800000000000001,2.9,55
2009-11-06,8.3,0.0,3
2009-11-07,6.75,3.3,53
2009-11-08,6.25,0.0,3
2009-11-09,5.949999999999999,5.2,53
2009-11-10,5.2,18.3,55
2009-11-11,7.0,2.4,51
2009-11-12,5.95,1.6,53
2009-11-13,10.2,1.6,51
2009-11-14,12.5,0.6,51
2009-11-15,9.75,2.8,55
2009-11-16,8.95,2.3,55
2009-11-17,10.2,0.5,51
